date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:22	585/585	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Mar%202025%2009:26:21%20GMT	https://html.theme-village.com/robots.txt		(from )
12:26:22	41001/41001	---MCZ	200	added ('OK')	text/html	date:Tue,%2010%20Dec%202024%2014:11:19%20GMT	https://html.theme-village.com/helpplus/	C:/My%20Web%20Sites/GP/html.theme-village.com/helpplus/index.html	(from )
12:26:22	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Tue,%2010%20Dec%202024%2014:11:24%20GMT	https://html.theme-village.com/helpplus/images/components/favicon.ico	C:/My%20Web%20Sites/GP/html.theme-village.com/helpplus/images/components/favicon.ico	(from https://html.theme-village.com/helpplus/)
12:26:22	232803/232803	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2014:11:21%20GMT	https://html.theme-village.com/helpplus/css/bootstrap.min.css	C:/My%20Web%20Sites/GP/html.theme-village.com/helpplus/css/bootstrap.min.css	(from https://html.theme-village.com/helpplus/)
12:26:22	89227/89227	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2014:11:21%20GMT	https://html.theme-village.com/helpplus/css/fontawesome/all.min.css	C:/My%20Web%20Sites/GP/html.theme-village.com/helpplus/css/fontawesome/all.min.css	(from https://html.theme-village.com/helpplus/)
12:26:23	1108/1108	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2014:11:21%20GMT	https://html.theme-village.com/helpplus/css/font/flaticon.css	C:/My%20Web%20Sites/GP/html.theme-village.com/helpplus/css/font/flaticon.css	(from https://html.theme-village.com/helpplus/)
12:26:23	2936/2936	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2014:11:21%20GMT	https://html.theme-village.com/helpplus/css/owl.carousel.min.css	C:/My%20Web%20Sites/GP/html.theme-village.com/helpplus/css/owl.carousel.min.css	(from https://html.theme-village.com/helpplus/)
12:26:23	72259/72259	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2014:11:21%20GMT	https://html.theme-village.com/helpplus/css/animate.css	C:/My%20Web%20Sites/GP/html.theme-village.com/helpplus/css/animate.css	(from https://html.theme-village.com/helpplus/)
12:26:23	6951/6951	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2014:11:21%20GMT	https://html.theme-village.com/helpplus/css/magnific-popup.css	C:/My%20Web%20Sites/GP/html.theme-village.com/helpplus/css/magnific-popup.css	(from https://html.theme-village.com/helpplus/)
12:26:24	4007/4007	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2014:11:21%20GMT	https://html.theme-village.com/helpplus/css/nice-select.css	C:/My%20Web%20Sites/GP/html.theme-village.com/helpplus/css/nice-select.css	(from https://html.theme-village.com/helpplus/)
12:26:24	127834/127834	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Dec%202024%2014:11:21%20GMT	https://html.theme-village.com/helpplus/css/style.css	C:/My%20Web%20Sites/GP/html.theme-village.com/helpplus/css/style.css	(from https://html.theme-village.com/helpplus/)
